tier,query_id,completion_tokens,latency_s
1,gsm8k/100,16384,192.36
1,gsm8k/1000,2119,25.62
1,gsm8k/1026,3435,43.31
1,gsm8k/1034,1658,20.04
1,gsm8k/1041,16384,196.94
1,gsm8k/1054,1606,18.9
1,gsm8k/106,1393,19.09
1,gsm8k/1062,1784,31.53
1,gsm8k/1074,1259,14.62
1,gsm8k/1080,1420,15.98
1,gsm8k/1108,704,11.77
1,gsm8k/1110,1268,16.41
1,gsm8k/1115,2764,34.37
1,gsm8k/1117,1452,16.57
1,gsm8k/1156,16384,268.88
1,gsm8k/1165,4135,43.23
1,gsm8k/1168,1643,19.69
1,gsm8k/1170,1226,14.66
1,gsm8k/1174,4315,69.51
1,gsm8k/1183,2150,21.87
1,gsm8k/1227,4824,76.23
1,gsm8k/1240,1873,18.01
1,gsm8k/1251,6349,78.62
1,gsm8k/1260,843,10.18
1,gsm8k/1269,1826,24.54
1,gsm8k/1277,1317,12.75
1,gsm8k/1279,2852,29.49
1,gsm8k/129,3708,47.46
1,gsm8k/1305,1081,15.72
1,gsm8k/134,788,10.1
1,gsm8k/185,875,11.23
1,gsm8k/186,2687,33.16
1,gsm8k/188,1133,14.7
1,gsm8k/190,734,8.16
1,gsm8k/196,869,10.45
1,gsm8k/20,3788,39.28
1,gsm8k/205,5011,55.88
1,gsm8k/220,1191,15.27
1,gsm8k/225,1893,22.72
1,gsm8k/227,2283,25.09
1,gsm8k/234,1766,21.09
1,gsm8k/249,1757,18.81
1,gsm8k/250,1727,21.69
1,gsm8k/268,925,11.46
1,gsm8k/27,1910,22.95
1,gsm8k/290,2010,23.5
1,gsm8k/299,3763,44.11
1,gsm8k/301,6548,75.07
1,gsm8k/303,1456,16.89
1,gsm8k/313,5321,60.94
1,gsm8k/314,1242,13.62
1,gsm8k/33,1236,14.8
1,gsm8k/350,1051,13.63
1,gsm8k/353,1336,15.66
1,gsm8k/365,16384,201.25
1,gsm8k/420,1348,13.61
1,gsm8k/426,2337,23.86
1,gsm8k/453,1584,18.58
1,gsm8k/454,821,11.01
1,gsm8k/468,1238,13.1
1,gsm8k/474,974,10.36
1,gsm8k/481,2110,24.41
1,gsm8k/488,997,11.89
1,gsm8k/491,1046,10.41
1,gsm8k/50,16384,192.41
1,gsm8k/519,957,9.51
1,gsm8k/552,16384,171.65
1,gsm8k/553,908,10.06
1,gsm8k/562,7430,92.36
1,gsm8k/578,2024,22.39
1,gsm8k/581,963,11.8
1,gsm8k/583,4733,59.02
1,gsm8k/60,1638,16.48
1,gsm8k/61,16384,260.97
1,gsm8k/610,16384,212.65
1,gsm8k/612,1065,10.85
1,gsm8k/643,1197,13.33
1,gsm8k/645,745,7.67
1,gsm8k/682,1201,14.55
1,gsm8k/700,1376,15.59
1,gsm8k/726,1216,14.58
1,gsm8k/735,1498,18.71
1,gsm8k/771,859,8.81
1,gsm8k/796,5325,62.89
1,gsm8k/801,2678,33.28
1,gsm8k/81,876,12.82
1,gsm8k/812,2934,30.54
1,gsm8k/813,1827,22.52
1,gsm8k/823,1285,15.47
1,gsm8k/827,2087,23.3
1,gsm8k/829,1944,20.3
1,gsm8k/863,1037,13.54
1,gsm8k/878,803,10.35
1,gsm8k/885,844,9.76
1,gsm8k/891,1916,24.25
1,gsm8k/919,16384,201.58
1,gsm8k/94,1401,20.59
1,gsm8k/971,995,11.85
1,gsm8k/985,662,7.98
1,gsm8k/999,4458,55.57
1,HumanEval/0,657,7.73
1,HumanEval/1,891,8.52
1,HumanEval/10,980,14.22
1,HumanEval/100,3422,36.52
1,HumanEval/101,549,6.7
1,HumanEval/102,5841,81.41
1,HumanEval/103,2954,29.03
1,HumanEval/104,3687,48.08
1,HumanEval/105,5247,51.48
1,HumanEval/106,5984,57.86
1,HumanEval/107,16384,182.11
1,HumanEval/108,982,10.88
1,HumanEval/109,16384,161.12
1,HumanEval/11,662,6.99
1,HumanEval/110,9673,108.58
1,HumanEval/111,16384,211.47
1,HumanEval/112,4963,56.07
1,HumanEval/113,5427,71.69
1,HumanEval/114,5133,67.8
1,HumanEval/115,825,12.33
1,HumanEval/116,16384,166.58
1,HumanEval/117,5477,81.7
1,HumanEval/118,1142,12.5
1,HumanEval/119,843,11.54
1,HumanEval/12,447,5.09
1,HumanEval/120,4975,48.39
1,HumanEval/121,3445,50.58
1,HumanEval/122,4053,39.88
1,HumanEval/123,4607,63.28
1,HumanEval/124,1466,21.17
1,HumanEval/125,574,6.42
1,HumanEval/126,16384,230.3
1,HumanEval/127,1318,14.03
1,HumanEval/128,732,10.08
1,HumanEval/129,7281,74.85
1,HumanEval/13,504,5.0
1,HumanEval/130,16384,200.68
1,HumanEval/131,4092,54.51
1,HumanEval/132,4233,46.93
1,HumanEval/133,4787,66.28
1,HumanEval/134,2634,26.01
1,HumanEval/135,3748,49.64
1,HumanEval/136,6347,70.39
1,HumanEval/137,620,7.35
1,HumanEval/138,1220,15.51
1,HumanEval/139,909,11.01
1,HumanEval/14,466,4.9
1,HumanEval/140,5318,69.46
1,HumanEval/141,6069,77.36
1,HumanEval/142,6847,77.36
1,HumanEval/143,5256,66.95
1,HumanEval/144,3239,39.97
1,HumanEval/145,16384,185.37
1,HumanEval/146,6899,86.54
1,HumanEval/147,2522,27.76
1,HumanEval/148,596,8.33
1,HumanEval/149,3685,41.12
1,HumanEval/15,1723,15.19
1,HumanEval/150,3264,36.65
1,HumanEval/151,6090,91.4
1,HumanEval/152,6322,71.22
1,HumanEval/153,6428,68.47
1,HumanEval/154,1009,12.7
1,HumanEval/155,2832,29.12
1,HumanEval/156,814,9.47
1,HumanEval/157,2997,44.94
1,HumanEval/158,771,11.78
1,HumanEval/159,5721,61.65
1,HumanEval/16,314,4.19
1,HumanEval/160,16384,190.3
1,HumanEval/161,4434,48.38
1,HumanEval/162,458,6.2
1,HumanEval/163,16384,182.89
1,HumanEval/17,634,10.08
1,HumanEval/18,686,6.82
1,HumanEval/19,667,7.21
1,HumanEval/2,321,3.69
1,HumanEval/20,940,8.1
1,HumanEval/21,852,10.27
1,HumanEval/22,625,7.19
1,HumanEval/23,183,5.18
1,HumanEval/24,774,8.8
1,HumanEval/25,1527,17.35
1,HumanEval/26,642,5.59
