policy,query_id,tier,latency_s,usd,correct,completion_tokens
ecologic,gsm8k/100,1,192.36,0.00411895,0,16384
ecologic,gsm8k/1000,2,5.77,8.995e-05,1,406
ecologic,gsm8k/1026,1,43.31,0.0008776200000000001,1,3435
ecologic,gsm8k/1034,2,5.23,5.1250000000000006e-05,1,224
ecologic,gsm8k/1041,1,196.94,0.0041129999999999995,1,16384
ecologic,gsm8k/1054,2,3.79,6.705e-05,1,299
ecologic,gsm8k/106,2,4.86,8.915e-05,1,411
ecologic,gsm8k/1062,1,31.53,0.00046572,1,1784
ecologic,gsm8k/1074,1,14.62,0.00032852,1,1259
ecologic,gsm8k/1080,3,1.72,0.0026075,1,244
ecologic,gsm8k/1108,1,11.77,0.00019181,1,704
ecologic,gsm8k/1110,2,6.66,0.000107,1,493
ecologic,gsm8k/1115,2,5.01,7.48e-05,1,334
ecologic,gsm8k/1117,1,16.57,0.00037541,1,1452
ecologic,gsm8k/1156,1,268.88,0.00411385,1,16384
ecologic,gsm8k/1165,2,7.44,0.00013780000000000002,1,648
ecologic,gsm8k/1168,1,19.69,0.00042689999999999997,1,1643
ecologic,gsm8k/1170,1,14.66,0.00032486,1,1226
ecologic,gsm8k/1174,1,69.51,0.00109881,1,4315
ecologic,gsm8k/1183,1,21.87,0.00056385,1,2150
ecologic,gsm8k/1227,1,76.23,0.00122232,1,4824
ecologic,gsm8k/1240,2,6.62,0.00010200000000000001,1,467
ecologic,gsm8k/1251,2,33.08,0.0005458,0,2687
ecologic,gsm8k/1260,2,3.08,5.3750000000000005e-05,1,225
ecologic,gsm8k/1269,2,4.66,8.13e-05,1,369
ecologic,gsm8k/1277,1,12.75,0.00034251,1,1317
ecologic,gsm8k/1279,2,2.7,4.97e-05,1,206
ecologic,gsm8k/129,2,4.97,0.00010055,1,465
ecologic,gsm8k/1305,1,15.72,0.00028639999999999997,1,1081
ecologic,gsm8k/134,2,2.04,3.825e-05,1,161
ecologic,gsm8k/185,2,1.74,3.57e-05,1,145
ecologic,gsm8k/186,2,7.38,0.00013690000000000002,1,633
ecologic,gsm8k/188,2,3.1,5.7e-05,1,245
ecologic,gsm8k/190,2,2.58,4.9449999999999996e-05,1,217
ecologic,gsm8k/196,2,2.09,4.005e-05,1,167
ecologic,gsm8k/20,1,39.28,0.00096451,1,3788
ecologic,gsm8k/205,2,11.41,0.00022095000000000003,1,1061
ecologic,gsm8k/220,1,15.27,0.00031288,1,1191
ecologic,gsm8k/225,1,22.72,0.00048974,1,1893
ecologic,gsm8k/227,2,4.85,9.550000000000002e-05,1,427
ecologic,gsm8k/234,1,21.09,0.00045714,0,1766
ecologic,gsm8k/249,1,18.81,0.00045727,1,1757
ecologic,gsm8k/250,2,5.32,9.16e-05,1,420
ecologic,gsm8k/268,2,2.02,4.330000000000001e-05,1,181
ecologic,gsm8k/27,1,22.95,0.00049399,1,1910
ecologic,gsm8k/290,1,23.5,0.00052018,1,2010
ecologic,gsm8k/299,2,7.74,0.00011724999999999999,1,542
ecologic,gsm8k/301,1,75.07,0.00165876,1,6548
ecologic,gsm8k/303,2,6.34,0.00011615,1,538
ecologic,gsm8k/313,1,60.94,0.0013477600000000001,1,5321
ecologic,gsm8k/314,1,13.62,0.00032648000000000003,1,1242
ecologic,gsm8k/33,1,14.8,0.00032106999999999996,1,1236
ecologic,gsm8k/350,1,13.63,0.00028281000000000004,1,1051
ecologic,gsm8k/353,2,20.14,0.00040770000000000004,0,1997
ecologic,gsm8k/365,1,201.25,0.0041077299999999995,1,16384
ecologic,gsm8k/420,1,13.61,0.00035349000000000003,1,1348
ecologic,gsm8k/426,1,23.86,0.0006026100000000001,1,2337
ecologic,gsm8k/453,1,18.58,0.00041181,1,1584
