budget_J,lp_relaxed_accuracy,integer_mckp_accuracy
290.009500,0.905556,0.905556
314.953083,0.944323,0.941667
342.042053,0.956596,0.955556
363.323500,0.963889,0.963889
371.460932,0.963889,0.963889
383.278500,0.963889,0.963889
403.410116,0.963889,0.963889
438.107234,0.963889,0.963889
465.552500,0.963889,0.963889
475.788635,0.963889,0.963889
516.710996,0.963889,0.963889
561.153071,0.963889,0.963889
609.417588,0.963889,0.963889
661.833313,0.963889,0.963889
718.757292,0.963889,0.963889
771.257500,0.963889,0.963889
780.577275,0.963889,0.963889
847.714366,0.963889,0.963889
920.625888,0.963889,0.963889
945.271500,0.963889,0.963889
999.808496,0.963889,0.963889
1085.801564,0.963889,0.963889
1179.190856,0.963889,0.963889
1280.612518,0.963889,0.963889
1390.757410,0.963889,0.963889
1510.375814,0.963889,0.963889
1640.282542,0.963889,0.963889
1781.362487,0.963889,0.963889
1934.576653,0.963889,0.963889
2100.968699,0.963889,0.963889
2281.672048,0.963889,0.963889
2477.917609,0.963889,0.963889
2691.042161,0.963889,0.963889
2922.497456,0.963889,0.963889
3173.860115,0.963889,0.963889
3446.842360,0.963889,0.963889
3743.303683,0.963889,0.963889
4065.263507,0.963889,0.963889
4414.914947,0.963889,0.963889
4794.639746,0.963889,0.963889
5207.024500,0.963889,0.963889
