rule,tau,accuracy,energy_J,energy_frac_of_frontier,n_tier1,n_tier2,n_tier3,within_budget
cost_ordered,0.0,0.8944444444444445,383.2785,0.07429951381780962,0,360,0,True
cost_ordered,0.020408,0.8944444444444445,384.144,0.07446729319810179,2,358,0,True
cost_ordered,0.040816,0.8944444444444445,383.945,0.07442871654105021,4,356,0,True
cost_ordered,0.061224,0.8888888888888888,407.1595,0.07892890651654724,6,353,1,True
cost_ordered,0.081633,0.8916666666666667,413.9955,0.08025408253466083,9,349,2,True
cost_ordered,0.102041,0.8972222222222223,414.3795,0.08032852191309202,11,347,2,True
cost_ordered,0.122449,0.8972222222222223,426.161,0.08261239570732917,11,345,4,True
cost_ordered,0.142857,0.9027777777777778,438.3165,0.08496877035451754,10,343,7,True
cost_ordered,0.163265,0.9027777777777778,444.267,0.08612228994137898,11,341,8,True
cost_ordered,0.183673,0.9027777777777778,443.9775,0.08606616962873359,13,339,8,True
cost_ordered,0.204082,0.9055555555555556,465.6905,0.09027529000341179,16,334,10,True
cost_ordered,0.22449,0.9055555555555556,465.5525,0.09024853835178809,17,333,10,True
cost_ordered,0.244898,0.9055555555555556,485.5745,0.09412985406780186,18,331,11,True
cost_ordered,0.265306,0.9055555555555556,475.229,0.09212435253248968,18,330,12,True
cost_ordered,0.285714,0.9055555555555556,484.668,0.09395412673304178,19,328,13,True
cost_ordered,0.306122,0.9055555555555556,487.1135,0.09442819313917061,22,325,13,True
cost_ordered,0.326531,0.9055555555555556,502.2995,0.09737203793306659,22,323,15,True
cost_ordered,0.346939,0.9055555555555556,524.3515,0.10164687432151608,24,320,16,False
cost_ordered,0.367347,0.9055555555555556,564.39,0.10940843956452963,25,314,21,False
cost_ordered,0.387755,0.9083333333333333,571.46,0.11077897707887473,25,312,23,False
cost_ordered,0.408163,0.9055555555555556,620.166,0.12022075928166,26,307,27,False
cost_ordered,0.428571,0.9111111111111111,646.928,0.12540864117117953,29,301,30,False
cost_ordered,0.44898,0.9138888888888889,682.9625,0.13239402081200954,27,298,35,False
cost_ordered,0.469388,0.9138888888888889,684.1045,0.13261540042182313,30,295,35,False
cost_ordered,0.489796,0.9138888888888889,688.742,0.13351439161316334,31,293,36,False
cost_ordered,0.510204,0.9138888888888889,680.3835,0.13189407509072298,33,290,37,False
cost_ordered,0.530612,0.9138888888888889,713.0105,0.13821890217425017,34,285,41,False
cost_ordered,0.55102,0.9138888888888889,728.5585,0.14123292159052137,36,281,43,False
cost_ordered,0.571429,0.9055555555555556,764.83,0.1482642442852269,39,273,48,False
cost_ordered,0.591837,0.9083333333333333,790.2605,0.15319401150708722,41,269,50,False
cost_ordered,0.612245,0.9055555555555556,868.6465000000001,0.1683893373344499,42,261,57,False
cost_ordered,0.632653,0.9027777777777778,903.884,0.1752202164945256,44,254,62,False
cost_ordered,0.653061,0.9055555555555556,965.6395,0.18719167752240934,45,246,69,False
cost_ordered,0.673469,0.9055555555555556,984.8155,0.1909089939828169,45,245,70,False
cost_ordered,0.693878,0.9027777777777778,1023.1555,0.19834130067305603,46,242,72,False
cost_ordered,0.714286,0.9055555555555556,1059.303,0.2053485856518098,52,234,74,False
cost_ordered,0.734694,0.9027777777777778,1084.6565,0.21026342622747432,52,231,77,False
cost_ordered,0.755102,0.8972222222222223,1200.141,0.23265039080673677,52,223,85,False
cost_ordered,0.77551,0.8972222222222223,1234.8135,0.2393717432771936,53,217,90,False
cost_ordered,0.795918,0.9,1360.5715,0.26375025200831237,55,206,99,False
cost_ordered,0.816327,0.9,1453.244,0.2817150522626469,58,198,104,False
cost_ordered,0.836735,0.9,1525.205,0.2956648754691231,57,191,112,False
cost_ordered,0.857143,0.8972222222222223,1667.947,0.32333577587543805,55,181,124,False
cost_ordered,0.877551,0.9,1905.172,0.36932244657423774,54,166,140,False
cost_ordered,0.897959,0.9,2138.776,0.414607177196737,55,149,156,False
cost_ordered,0.918367,0.9,2327.55,0.45120149809249094,61,131,168,False
cost_ordered,0.938776,0.9027777777777778,2605.042,0.5049940293415216,60,110,190,False
cost_ordered,0.959184,0.9083333333333333,2856.6945,0.5537775076765609,63,84,213,False
cost_ordered,0.979592,0.9111111111111111,3542.522,0.6867269160385844,52,53,255,False
cost_ordered,1.0,0.9055555555555556,5158.56,1.0,0,0,360,False
index_ordered,0.0,0.8555555555555555,771.2575,0.14951023153748333,360,0,0,False
index_ordered,0.020408,0.8555555555555555,772.5755,0.14976572919574455,358,2,0,False
index_ordered,0.040816,0.8527777777777777,782.6305,0.15171491656586333,355,5,0,False
index_ordered,0.061224,0.85,780.0325,0.15121128764616482,352,7,1,False
index_ordered,0.081633,0.8583333333333333,762.0565,0.14772659424335474,346,12,2,False
index_ordered,0.102041,0.8611111111111112,742.3475,0.14390595437486428,342,16,2,False
index_ordered,0.122449,0.8666666666666667,746.391,0.14468979715269376,337,19,4,False
index_ordered,0.142857,0.8722222222222222,749.587,0.145309349896095,329,24,7,False
index_ordered,0.163265,0.875,752.5445,0.1458826688067988,324,28,8,False
