budget_J,lp_relaxed_accuracy,integer_mckp_accuracy
1284.412450,0.905333,0.905333
1394.887950,0.947452,0.947333
1420.081526,0.950400,0.950000
1515.240600,0.956000,0.956000
1570.080965,0.956000,0.956000
1735.924447,0.956000,0.956000
1919.285536,0.956000,0.956000
2122.014570,0.956000,0.956000
2326.040350,0.956000,0.956000
2346.157332,0.956000,0.956000
2444.522050,0.956000,0.956000
2593.975700,0.956000,0.956000
2757.153750,0.956000,0.956000
2867.970463,0.956000,0.956000
3170.906566,0.956000,0.956000
3505.841004,0.956000,0.956000
3876.153678,0.956000,0.956000
4285.581495,0.956000,0.956000
4738.256086,0.956000,0.956000
5238.745491,0.956000,0.956000
5792.100263,0.956000,0.956000
6403.904429,0.956000,0.956000
7080.331845,0.956000,0.956000
7828.208492,0.956000,0.956000
8655.081363,0.956000,0.956000
9569.294618,0.956000,0.956000
10580.073792,0.956000,0.956000
11697.618886,0.956000,0.956000
12933.207299,0.956000,0.956000
14299.307634,0.956000,0.956000
15809.705520,0.956000,0.956000
17479.642722,0.956000,0.956000
19325.970956,0.956000,0.956000
21367.321937,0.956000,0.956000
23624.295400,0.956000,0.956000
