rule,tau,accuracy,energy_J,energy_frac_of_frontier,n_tier1,n_tier2,n_tier3,within_budget
cost_ordered,0.0,0.9013333333333333,1394.88795,0.059071335447198316,0,1500,0,True
cost_ordered,0.020408,0.9013333333333333,1394.88795,0.059071335447198316,0,1500,0,True
cost_ordered,0.040816,0.9013333333333333,1394.88795,0.059071335447198316,0,1500,0,True
cost_ordered,0.061224,0.9013333333333333,1394.88795,0.059071335447198316,0,1500,0,True
cost_ordered,0.081633,0.902,1425.114,0.06035136165919175,0,1499,1,True
cost_ordered,0.102041,0.9026666666666666,1456.1689,0.06166648837971377,1,1497,2,True
cost_ordered,0.122449,0.9026666666666666,1510.6589,0.06397405514055492,3,1493,4,True
cost_ordered,0.142857,0.9033333333333333,1562.5837,0.06617298967062142,4,1490,6,True
cost_ordered,0.163265,0.902,1665.3326,0.07052424579748855,4,1484,12,True
cost_ordered,0.183673,0.904,1704.6962,0.07219123304188288,10,1476,14,True
cost_ordered,0.204082,0.9046666666666666,1876.768,0.0794782061774693,12,1464,24,True
cost_ordered,0.22449,0.9053333333333333,1987.69295,0.08417570530699701,9,1460,31,True
cost_ordered,0.244898,0.9053333333333333,2094.74775,0.08870930960261998,13,1449,38,True
cost_ordered,0.265306,0.906,2326.04035,0.09850419152202769,24,1423,53,True
cost_ordered,0.285714,0.9066666666666666,2512.69805,0.10640885483960993,36,1398,66,False
cost_ordered,0.306122,0.9066666666666666,2793.3411,0.11829365157003896,42,1372,86,False
cost_ordered,0.326531,0.9093333333333333,3008.59775,0.1274094359449704,53,1345,102,False
cost_ordered,0.346939,0.9066666666666666,3263.45105,0.13820207686937258,58,1314,128,False
cost_ordered,0.367347,0.908,3473.0768,0.14707940138609849,60,1282,158,False
cost_ordered,0.387755,0.9113333333333333,3835.65025,0.16243382314391638,73,1225,202,False
cost_ordered,0.408163,0.9086666666666666,4209.7378,0.17827584913078548,72,1179,249,False
cost_ordered,0.428571,0.9073333333333333,4601.41485,0.19486276308865505,82,1124,294,False
cost_ordered,0.44898,0.9066666666666666,4870.32035,0.20625049283002717,90,1073,337,False
cost_ordered,0.469388,0.9093333333333333,5222.9645,0.22118442417422016,91,1020,389,False
cost_ordered,0.489796,0.91,5478.46985,0.23200467840209835,106,968,426,False
cost_ordered,0.510204,0.9093333333333333,5905.0569,0.2500699765702994,97,927,476,False
cost_ordered,0.530612,0.9113333333333333,6151.973,0.26052648941809764,89,895,516,False
cost_ordered,0.55102,0.912,6446.99485,0.2730202059675904,89,858,553,False
cost_ordered,0.571429,0.9133333333333333,6741.2592,0.28548184357009593,88,824,588,False
cost_ordered,0.591837,0.9133333333333333,7243.84325,0.3067654965029078,81,794,625,False
cost_ordered,0.612245,0.9153333333333333,7775.0466,0.32926113228392195,74,760,666,False
cost_ordered,0.632653,0.9146666666666666,8285.92105,0.3508958707640651,96,711,693,False
cost_ordered,0.653061,0.9133333333333333,9035.13625,0.3826239693553101,101,662,737,False
cost_ordered,0.673469,0.914,9956.2131,0.4216301415564528,105,615,780,False
cost_ordered,0.693878,0.9126666666666666,10924.0355,0.4626159151045808,118,555,827,False
cost_ordered,0.714286,0.912,12092.7498,0.5121091482042269,129,482,889,False
cost_ordered,0.734694,0.9113333333333333,13612.28365,0.5764590436755604,144,383,973,False
cost_ordered,0.755102,0.9093333333333333,15396.12265,0.6520018512199189,143,284,1073,False
cost_ordered,0.77551,0.9113333333333333,17398.17525,0.7367856653732605,125,194,1181,False
cost_ordered,0.795918,0.908,19235.57005,0.8145964777612646,97,124,1279,False
cost_ordered,0.816327,0.9073333333333333,20731.43755,0.8779441401144035,82,63,1355,False
cost_ordered,0.836735,0.9066666666666666,21979.8162,0.9308110345479461,57,28,1415,False
cost_ordered,0.857143,0.906,22718.18085,0.962079629220732,37,10,1453,False
cost_ordered,0.877551,0.906,23225.74775,0.9835742981020528,17,5,1478,False
cost_ordered,0.897959,0.906,23507.50595,0.9955063197007761,2,5,1493,False
cost_ordered,0.918367,0.906,23515.82545,0.995858637587853,1,5,1494,False
cost_ordered,0.938776,0.906,23526.46105,0.996309038708088,1,3,1496,False
cost_ordered,0.959184,0.906,23551.6074,0.9973739475246869,0,3,1497,False
cost_ordered,0.979592,0.906,23571.26895,0.9982065835908756,0,2,1498,False
cost_ordered,1.0,0.906,23613.618,1.0,0,0,1500,False
index_ordered,0.0,0.9213333333333333,2444.52205,0.10352170726230941,1500,0,0,False
index_ordered,0.020408,0.9213333333333333,2444.52205,0.10352170726230941,1500,0,0,False
index_ordered,0.040816,0.9213333333333333,2444.19805,0.10350798636617227,1499,1,0,False
index_ordered,0.061224,0.9213333333333333,2444.79645,0.1035333276755811,1497,3,0,False
index_ordered,0.081633,0.9213333333333333,2475.8864,0.10484993870909574,1495,4,1,False
index_ordered,0.102041,0.9206666666666666,2503.7616,0.10603041007947193,1491,7,2,False
index_ordered,0.122449,0.9206666666666666,2559.66155,0.10839768603015429,1488,8,4,False
index_ordered,0.142857,0.9206666666666666,2607.743,0.11043386066463852,1485,9,6,False
index_ordered,0.163265,0.9193333333333333,2702.09485,0.1144295147825293,1478,10,12,False
index_ordered,0.183673,0.92,2727.7132,0.11551441206510583,1471,15,14,False
index_ordered,0.204082,0.9206666666666666,2893.70845,0.12254405275803142,1462,14,24,False
index_ordered,0.22449,0.9213333333333333,2996.7957,0.12690963748121953,1450,19,31,False
index_ordered,0.244898,0.9206666666666666,3092.39855,0.1309582695036398,1441,21,38,False
index_ordered,0.265306,0.9193333333333333,3295.95485,0.13957856225166343,1419,28,53,False
index_ordered,0.285714,0.9193333333333333,3457.3729,0.14641436564274055,1395,39,66,False
index_ordered,0.306122,0.9186666666666666,3690.3988,0.15628265012163745,1358,56,86,False
index_ordered,0.326531,0.9193333333333333,3862.27425,0.1635613081400741,1322,76,102,False
index_ordered,0.346939,0.9166666666666666,4085.8285,0.1730284829711398,1285,87,128,False
index_ordered,0.367347,0.916,4267.3791,0.18071686854593821,1244,98,158,False
index_ordered,0.387755,0.916,4598.9477,0.19475828312289967,1211,87,202,False
index_ordered,0.408163,0.9106666666666666,4942.10085,0.20929028537685332,1169,82,249,False
index_ordered,0.428571,0.9106666666666666,5278.7668,0.2235475647992612,1126,80,294,False
index_ordered,0.44898,0.9093333333333333,5527.0675,0.23406271330382325,1091,72,337,False
index_ordered,0.469388,0.9126666666666666,5853.45275,0.24788462106907974,1050,61,389,False
index_ordered,0.489796,0.9126666666666666,6087.46595,0.2577947161675945,1019,55,426,False
index_ordered,0.510204,0.9133333333333333,6486.4987,0.27469313258137745,974,50,476,False
index_ordered,0.530612,0.9153333333333333,6710.16255,0.2841649488020006,930,54,516,False
index_ordered,0.55102,0.914,6980.16265,0.29559903315112496,897,50,553,False
index_ordered,0.571429,0.9146666666666666,7250.09505,0.3070302505105317,867,45,588,False
