variant,query_id,benchmark,assigned_tier,oracle_tier,correct,cost_usd,latency_s,regret_usd
full,HumanEval/10,humaneval,1,1,1,0.0002773,14.22,0.0
full,HumanEval/102,humaneval,1,2,1,0.00148371,81.41,0.00136711
full,HumanEval/113,humaneval,2,2,1,0.00023099999999999998,13.17,0.0
full,HumanEval/120,humaneval,1,2,0,0.00128999,48.39,0.00116659
full,HumanEval/127,humaneval,2,1,0,0.00014420000000000004,6.98,-0.00023714999999999994
full,HumanEval/130,humaneval,1,2,0,0.00414377,200.68,0.00390312
full,HumanEval/136,humaneval,1,2,1,0.00161769,70.39,0.00152004
full,HumanEval/138,humaneval,2,2,1,0.0001292,8.64,0.0
full,HumanEval/146,humaneval,2,2,1,0.0001565,7.9,0.0
full,HumanEval/147,humaneval,2,2,1,0.000183,11.61,0.0
full,HumanEval/151,humaneval,1,2,1,0.00155293,91.4,0.00139953
full,HumanEval/153,humaneval,1,2,1,0.0016614,68.47,0.00155205
full,HumanEval/154,humaneval,1,2,1,0.00028047,12.7,2.796999999999999e-05
full,HumanEval/155,humaneval,1,2,1,0.00072653,29.12,0.00065058
full,HumanEval/157,humaneval,1,2,1,0.00077475,44.94,0.0006662
full,HumanEval/160,humaneval,1,2,0,0.00413918,190.3,0.00400863
full,HumanEval/162,humaneval,1,2,1,0.00013609,6.2,8.634e-05
full,HumanEval/19,humaneval,1,2,1,0.00019156999999999998,7.21,9.116999999999998e-05
full,HumanEval/2,humaneval,1,2,1,0.0001015,3.69,5.0749999999999994e-05
full,HumanEval/22,humaneval,1,2,1,0.00017886,7.19,0.00011321
full,HumanEval/23,humaneval,1,2,1,5.986e-05,5.18,3.156e-05
full,HumanEval/28,humaneval,1,2,1,6.157999999999999e-05,2.58,3.2979999999999986e-05
full,HumanEval/32,humaneval,1,2,0,0.00040502,15.12,8.646999999999995e-05
full,HumanEval/34,humaneval,1,2,1,0.00018997,6.93,0.00014417
full,HumanEval/39,humaneval,1,2,1,0.00026456,10.63,0.00012780999999999998
full,HumanEval/48,humaneval,1,2,1,9.088e-05,3.39,4.598e-05
full,HumanEval/49,humaneval,1,1,1,0.00016028,4.99,0.0
full,HumanEval/53,humaneval,1,2,1,9.831e-05,3.36,6.570999999999999e-05
full,HumanEval/56,humaneval,1,2,1,0.0001757,6.16,0.0001015
full,HumanEval/59,humaneval,1,2,1,0.00021528,8.39,0.00014338000000000003
full,HumanEval/63,humaneval,1,2,1,0.00024781,8.54,0.00016431
full,HumanEval/66,humaneval,1,2,1,0.00096395,37.8,0.00086045
full,HumanEval/67,humaneval,1,2,0,0.00414122,199.25,0.00404677
full,HumanEval/68,humaneval,1,2,1,0.00128516,45.67,0.00114361
full,HumanEval/74,humaneval,1,2,1,0.00026995999999999997,9.13,0.00018595999999999996
full,HumanEval/75,humaneval,1,2,0,0.00411674,175.63,0.0038705399999999996
full,HumanEval/77,humaneval,1,2,0,0.00412218,202.22,0.00400093
full,HumanEval/80,humaneval,1,2,1,0.00075037,33.67,0.00068212
full,HumanEval/83,humaneval,1,2,0,0.00411011,181.54,0.00395651
full,HumanEval/85,humaneval,1,2,1,0.00104706,43.21,0.0009809600000000001
full,HumanEval/89,humaneval,1,2,0,0.00412201,171.01,0.00397416
full,gsm8k/1026,gsm8k,1,2,1,0.0008776200000000001,43.31,0.0007989200000000001
full,gsm8k/1054,gsm8k,2,2,1,6.705e-05,3.79,0.0
full,gsm8k/1108,gsm8k,1,2,1,0.00019181,11.77,0.00015371
full,gsm8k/1115,gsm8k,2,2,1,7.48e-05,5.01,0.0
full,gsm8k/1170,gsm8k,1,2,1,0.00032486,14.66,0.00021595999999999999
full,gsm8k/227,gsm8k,2,2,1,9.550000000000002e-05,4.85,0.0
full,gsm8k/313,gsm8k,1,2,1,0.0013477600000000001,60.94,0.0010524100000000002
full,gsm8k/33,gsm8k,1,2,1,0.00032106999999999996,14.8,0.00025612
full,gsm8k/350,gsm8k,1,2,1,0.00028281000000000004,13.63,0.00020821000000000001
full,gsm8k/453,gsm8k,1,2,1,0.00041181,18.58,0.00034460999999999997
full,gsm8k/468,gsm8k,1,2,1,0.00032616,13.1,0.00022820999999999996
full,gsm8k/474,gsm8k,1,2,1,0.00025693,10.36,0.00021208
full,gsm8k/488,gsm8k,1,2,1,0.00026319,11.89,0.00022034
full,gsm8k/519,gsm8k,1,2,1,0.00025149,9.51,0.00019024
full,gsm8k/552,gsm8k,1,2,0,0.00411453,171.65,0.00402693
full,gsm8k/553,gsm8k,2,2,1,4.35e-05,2.36,0.0
full,gsm8k/562,gsm8k,1,2,1,0.00187807,92.36,0.0017741699999999998
full,gsm8k/581,gsm8k,1,2,1,0.00025588,11.8,0.00020633
full,gsm8k/610,gsm8k,1,2,1,0.00411079,212.65,0.00403479
full,gsm8k/682,gsm8k,1,2,1,0.0003198,14.55,0.00025195
full,gsm8k/700,gsm8k,2,2,1,9.94e-05,6.02,0.0
full,gsm8k/735,gsm8k,1,2,1,0.00039133,18.71,0.00032383
full,gsm8k/771,gsm8k,2,2,1,5.3750000000000005e-05,2.97,0.0
full,gsm8k/796,gsm8k,2,2,1,0.00015295,9.02,0.0
full,gsm8k/829,gsm8k,2,2,1,0.000102,5.47,0.0
full,mmlu/college_biology/14,mmlu,1,2,1,0.00068249,32.07,0.00058509
full,mmlu/college_biology/32,mmlu,1,2,1,0.00036722,16.89,0.00029302
full,mmlu/college_chemistry/12,mmlu,1,3,0,0.0041164,184.6,0.0038064
full,mmlu/college_chemistry/21,mmlu,2,2,1,5.31e-05,2.53,0.0
full,mmlu/college_chemistry/27,mmlu,1,2,1,0.00057479,23.48,0.0004973400000000001
full,mmlu/college_chemistry/5,mmlu,1,3,1,0.004117249999999999,199.09,0.0037872499999999994
full,mmlu/college_chemistry/87,mmlu,1,2,1,0.00023165000000000002,10.17,0.00018765000000000003
