router,dataset,budget,axis,unit,raw_router_savings,router_overhead,net_savings,break_even_overhead,percentage_of_break_even_used,status,routing_is_beneficial,routing_is_neutral,routing_is_dominated,status_ci,break_even_lo,break_even_hi,net_lo,net_hi,numeric_verified,numeric_abs_err
ecologic,stage12,0.0007877658516483516,usd,USD/query,-0.000673065576923077,0.0,-0.000673065576923077,-0.000673065576923077,,dominated,false,false,true,dominated,-0.0007972997252747253,-0.0005576026923076922,-0.0007972997252747253,-0.0005576026923076922,true,0.0
ecologic,stage12,0.0007877658516483516,latency_ms,ms/query,-29783.489010989008,0.0,-29783.489010989008,-29783.489010989008,,dominated,false,false,true,dominated,-35593.07692307692,-24419.093406593405,-35593.07692307692,-24419.093406593405,true,0.0
ecologic,stage12,0.0007877658516483516,tokens,tokens/query,-2470.071428571429,0.0,-2470.071428571429,-2470.071428571429,,dominated,false,false,true,dominated,-2954.728021978022,-2010.6346153846152,-2954.728021978022,-2010.6346153846152,true,0.0
always_t1,stage12,0.0009182128021978022,usd,USD/query,-0.0008035125274725275,0.0,-0.0008035125274725275,-0.0008035125274725275,,dominated,false,false,true,dominated,-0.0009240879395604397,-0.0006901853846153846,-0.0009240879395604397,-0.0006901853846153846,true,0.0
always_t1,stage12,0.0009182128021978022,latency_ms,ms/query,-36059.560439560446,0.0,-36059.560439560446,-36059.560439560446,,dominated,false,false,true,dominated,-41773.21428571428,-30606.923076923078,-41773.21428571428,-30606.923076923078,true,0.0
always_t1,stage12,0.0009182128021978022,tokens,tokens/query,-2998.936813186813,0.0,-2998.936813186813,-2998.936813186813,,dominated,false,false,true,dominated,-3486.439560439561,-2552.162087912088,-3486.439560439561,-2552.162087912088,true,0.0
always_t2,stage12,0.00011470027472527475,usd,USD/query,0.0,0.0,0.0,0.0,0.0,neutral,false,true,false,neutral,0.0,0.0,0.0,0.0,true,6.776263578034403e-20
always_t2,stage12,0.00011470027472527475,latency_ms,ms/query,0.0,0.0,0.0,0.0,0.0,neutral,false,true,false,neutral,0.0,0.0,0.0,0.0,true,0.0
always_t2,stage12,0.00011470027472527475,tokens,tokens/query,0.0,0.0,0.0,0.0,0.0,neutral,false,true,false,neutral,0.0,0.0,0.0,0.0,true,0.0
frontier,stage12,0.0017488873626373626,usd,USD/query,-0.0016341870879120878,0.0,-0.0016341870879120878,-0.0016341870879120878,,dominated,false,false,true,neutral,-0.0017434667582417584,0.0,-0.0017434667582417584,0.0,true,0.0
frontier,stage12,0.0017488873626373626,latency_ms,ms/query,5271.538461538461,0.0,5271.538461538461,5271.538461538461,0.0,beneficial,true,false,false,neutral,0.0,6648.983516483517,0.0,6648.983516483517,true,0.0
frontier,stage12,0.0017488873626373626,tokens,tokens/query,443.6126373626373,0.0,443.6126373626373,443.6126373626373,0.0,beneficial,true,false,false,neutral,0.0,560.2032967032967,0.0,560.2032967032967,true,0.0
random,stage12,0.0009967277747252748,usd,USD/query,-0.0008820275000000001,0.0,-0.0008820275000000001,-0.0008820275000000001,,dominated,false,false,true,neutral,-0.0010145867582417583,inf,-0.0010145867582417583,inf,true,0.0
random,stage12,0.0009967277747252748,latency_ms,ms/query,-10609.285714285714,0.0,-10609.285714285714,-10609.285714285714,,dominated,false,false,true,dominated,-15528.571428571428,-6729.395604395606,-15528.571428571428,-6729.395604395606,true,0.0
random,stage12,0.0009967277747252748,tokens,tokens/query,-869.7582417582418,0.0,-869.7582417582418,-869.7582417582418,,dominated,false,false,true,dominated,-1277.585164835165,-553.6071428571429,-1277.585164835165,-553.6071428571429,true,0.0
oracle_usd,stage12,0.00012918313186813187,usd,USD/query,inf,0.0,inf,inf,0.0,beneficial,true,false,false,beneficial,inf,inf,inf,inf,true,0.0
oracle_usd,stage12,0.00012918313186813187,latency_ms,ms/query,1128.9835164835158,0.0,1128.9835164835158,1128.9835164835158,0.0,beneficial,true,false,false,neutral,-4585.851648351648,2411.1538461538457,-4585.851648351648,2411.1538461538457,true,0.0
oracle_usd,stage12,0.00012918313186813187,tokens,tokens/query,95.95879120879113,0.0,95.95879120879113,95.95879120879113,0.0,beneficial,true,false,false,neutral,-385.4725274725275,205.30494505494505,-385.4725274725275,205.30494505494505,true,0.0
