query_id,selected_model,input_tokens,output_tokens,input_price_per_token,output_price_per_token,router_overhead_cost,router_overhead_tokens,latency_ms,inference_cost,realized_cost
gsm8k/100,openai/gpt-oss-20b,187,1971,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,22160.0,0.00040355,0.00040355
gsm8k/1000,openai/gpt-oss-20b,175,406,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,5770.0,8.995e-05,8.995e-05
gsm8k/1026,openai/gpt-oss-20b,162,353,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,4910.0,7.870000000000002e-05,7.870000000000002e-05
gsm8k/1034,openai/gpt-oss-20b,129,224,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,5230.0,5.1250000000000006e-05,5.1250000000000006e-05
gsm8k/1041,openai/gpt-oss-20b,152,163,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,1950.0,4.02e-05,4.02e-05
gsm8k/1054,openai/gpt-oss-20b,145,299,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,3790.0,6.705e-05,6.705e-05
gsm8k/106,openai/gpt-oss-20b,139,411,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,4860.0,8.915000000000001e-05,8.915000000000001e-05
gsm8k/1062,openai/gpt-oss-20b,162,350,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,4510.0,7.81e-05,7.81e-05
gsm8k/1074,openai/gpt-oss-20b,132,412,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,6520.0,8.900000000000001e-05,8.900000000000001e-05
gsm8k/1080,openai/gpt-oss-20b,127,270,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,3570.0,6.035e-05,6.035e-05
gsm8k/1108,openai/gpt-oss-20b,146,154,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,1970.0,3.8100000000000005e-05,3.8100000000000005e-05
gsm8k/1110,openai/gpt-oss-20b,168,493,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,6660.0,0.00010700000000000001,0.00010700000000000001
gsm8k/1115,openai/gpt-oss-20b,160,334,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,5010.0,7.480000000000002e-05,7.480000000000002e-05
gsm8k/1117,openai/gpt-oss-20b,123,210,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,2810.0,4.8150000000000005e-05,4.8150000000000005e-05
gsm8k/1156,openai/gpt-oss-20b,159,321,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,5130.0,7.215e-05,7.215e-05
gsm8k/1165,openai/gpt-oss-20b,164,648,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,7440.0,0.00013780000000000002,0.00013780000000000002
gsm8k/1168,openai/gpt-oss-20b,146,497,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,6170.0,0.0001067,0.0001067
gsm8k/1170,openai/gpt-oss-20b,162,504,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,7090.0,0.00010890000000000002,0.00010890000000000002
gsm8k/1174,openai/gpt-oss-20b,169,1250,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,17060.0,0.00025845,0.00025845
gsm8k/1183,openai/gpt-oss-20b,210,5624,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,73050.0,0.0011353000000000001,0.0011353000000000001
gsm8k/1227,openai/gpt-oss-20b,150,1236,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,15640.0,0.00025470000000000007,0.00025470000000000007
gsm8k/1240,openai/gpt-oss-20b,172,467,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,6620.0,0.00010200000000000001,0.00010200000000000001
gsm8k/1251,openai/gpt-oss-20b,168,2687,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,33080.0,0.0005458,0.0005458
gsm8k/1260,openai/gpt-oss-20b,175,225,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,3080.0,5.3750000000000005e-05,5.3750000000000005e-05
gsm8k/1269,openai/gpt-oss-20b,150,369,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,4660.0,8.130000000000001e-05,8.130000000000001e-05
gsm8k/1277,openai/gpt-oss-20b,130,195,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,2460.0,4.550000000000001e-05,4.550000000000001e-05
gsm8k/1279,openai/gpt-oss-20b,170,206,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,2700.0,4.97e-05,4.97e-05
gsm8k/129,openai/gpt-oss-20b,151,465,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,4970.0,0.00010055,0.00010055
