query_id,selected_model,input_tokens,output_tokens,input_price_per_token,output_price_per_token,router_overhead_cost,router_overhead_tokens,latency_ms,inference_cost,realized_cost
gsm8k/100,Qwen/Qwen3.5-9B,135,16384,1.7000000000000001e-07,2.5e-07,0.0,0.0,192360.0,0.00411895,0.00411895
gsm8k/1000,openai/gpt-oss-20b,175,406,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,5770.0,8.995e-05,8.995e-05
gsm8k/1026,Qwen/Qwen3.5-9B,111,3435,1.7000000000000001e-07,2.5e-07,0.0,0.0,43310.0,0.00087762,0.00087762
gsm8k/1034,openai/gpt-oss-20b,129,224,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,5230.0,5.1250000000000006e-05,5.1250000000000006e-05
gsm8k/1041,Qwen/Qwen3.5-9B,100,16384,1.7000000000000001e-07,2.5e-07,0.0,0.0,196940.0,0.0041129999999999995,0.0041129999999999995
gsm8k/1054,openai/gpt-oss-20b,145,299,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,3790.0,6.705e-05,6.705e-05
gsm8k/106,openai/gpt-oss-20b,139,411,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,4860.0,8.915000000000001e-05,8.915000000000001e-05
gsm8k/1062,Qwen/Qwen3.5-9B,116,1784,1.7000000000000001e-07,2.5e-07,0.0,0.0,31530.0,0.00046572,0.00046572
gsm8k/1074,Qwen/Qwen3.5-9B,81,1259,1.7000000000000001e-07,2.5e-07,0.0,0.0,14620.0,0.00032852,0.00032852
gsm8k/1080,gpt-4o,67,244,2.5e-06,1e-05,0.0,0.0,1720.0,0.0026075000000000004,0.0026075000000000004
gsm8k/1108,Qwen/Qwen3.5-9B,93,704,1.7000000000000001e-07,2.5e-07,0.0,0.0,11770.0,0.00019181,0.00019181
gsm8k/1110,openai/gpt-oss-20b,168,493,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,6660.0,0.00010700000000000001,0.00010700000000000001
gsm8k/1115,openai/gpt-oss-20b,160,334,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,5010.0,7.480000000000002e-05,7.480000000000002e-05
gsm8k/1117,Qwen/Qwen3.5-9B,73,1452,1.7000000000000001e-07,2.5e-07,0.0,0.0,16570.0,0.00037541,0.00037541
gsm8k/1156,Qwen/Qwen3.5-9B,105,16384,1.7000000000000001e-07,2.5e-07,0.0,0.0,268880.0,0.00411385,0.00411385
gsm8k/1165,openai/gpt-oss-20b,164,648,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,7440.0,0.00013780000000000002,0.00013780000000000002
gsm8k/1168,Qwen/Qwen3.5-9B,95,1643,1.7000000000000001e-07,2.5e-07,0.0,0.0,19690.0,0.00042689999999999997,0.00042689999999999997
gsm8k/1170,Qwen/Qwen3.5-9B,108,1226,1.7000000000000001e-07,2.5e-07,0.0,0.0,14660.0,0.00032485999999999995,0.00032485999999999995
gsm8k/1174,Qwen/Qwen3.5-9B,118,4315,1.7000000000000001e-07,2.5e-07,0.0,0.0,69510.0,0.0010988099999999998,0.0010988099999999998
gsm8k/1183,Qwen/Qwen3.5-9B,155,2150,1.7000000000000001e-07,2.5e-07,0.0,0.0,21870.0,0.00056385,0.00056385
gsm8k/1227,Qwen/Qwen3.5-9B,96,4824,1.7000000000000001e-07,2.5e-07,0.0,0.0,76230.0,0.00122232,0.00122232
gsm8k/1240,openai/gpt-oss-20b,172,467,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,6620.0,0.00010200000000000001,0.00010200000000000001
gsm8k/1251,openai/gpt-oss-20b,168,2687,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,33080.0,0.0005458,0.0005458
gsm8k/1260,openai/gpt-oss-20b,175,225,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,3080.0,5.3750000000000005e-05,5.3750000000000005e-05
gsm8k/1269,openai/gpt-oss-20b,150,369,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,4660.0,8.130000000000001e-05,8.130000000000001e-05
gsm8k/1277,Qwen/Qwen3.5-9B,78,1317,1.7000000000000001e-07,2.5e-07,0.0,0.0,12750.0,0.00034251,0.00034251
gsm8k/1279,openai/gpt-oss-20b,170,206,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,2700.0,4.97e-05,4.97e-05
gsm8k/129,openai/gpt-oss-20b,151,465,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,4970.0,0.00010055,0.00010055
gsm8k/1305,Qwen/Qwen3.5-9B,95,1081,1.7000000000000001e-07,2.5e-07,0.0,0.0,15720.0,0.00028639999999999997,0.00028639999999999997
gsm8k/134,openai/gpt-oss-20b,121,161,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,2040.0,3.825e-05,3.825e-05
gsm8k/185,openai/gpt-oss-20b,134,145,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,1740.0,3.57e-05,3.57e-05
gsm8k/186,openai/gpt-oss-20b,206,633,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,7380.0,0.00013690000000000002,0.00013690000000000002
gsm8k/188,openai/gpt-oss-20b,160,245,5.0000000000000004e-08,2.0000000000000002e-07,0.0,0.0,3100.0,5.7e-05,5.7e-05
