query_id,dataset,selected_model,quality,realized_cost,input_tokens,output_tokens,latency_ms
gsm8k-test/1023,ecologic_stage7,,,,,,
gsm8k-test/1035,ecologic_stage7,,,,,,
gsm8k-test/1051,ecologic_stage7,,,,,,
gsm8k-test/1059,ecologic_stage7,,,,,,
gsm8k-test/1064,ecologic_stage7,,,,,,
gsm8k-test/108,ecologic_stage7,,,,,,
gsm8k-test/1094,ecologic_stage7,,,,,,
gsm8k-test/1099,ecologic_stage7,,,,,,
gsm8k-test/1118,ecologic_stage7,,,,,,
gsm8k-test/1120,ecologic_stage7,,,,,,
gsm8k-test/1132,ecologic_stage7,,,,,,
gsm8k-test/1134,ecologic_stage7,,,,,,
gsm8k-test/115,ecologic_stage7,,,,,,
gsm8k-test/1163,ecologic_stage7,,,,,,
gsm8k-test/1164,ecologic_stage7,,,,,,
gsm8k-test/1167,ecologic_stage7,,,,,,
gsm8k-test/1171,ecologic_stage7,,,,,,
gsm8k-test/1175,ecologic_stage7,,,,,,
gsm8k-test/1179,ecologic_stage7,,,,,,
gsm8k-test/1202,ecologic_stage7,,,,,,
gsm8k-test/1234,ecologic_stage7,,,,,,
gsm8k-test/1244,ecologic_stage7,,,,,,
gsm8k-test/1252,ecologic_stage7,,,,,,
gsm8k-test/1274,ecologic_stage7,,,,,,
gsm8k-test/1294,ecologic_stage7,,,,,,
gsm8k-test/130,ecologic_stage7,,,,,,
gsm8k-test/1309,ecologic_stage7,,,,,,
gsm8k-test/1315,ecologic_stage7,,,,,,
gsm8k-test/149,ecologic_stage7,,,,,,
gsm8k-test/151,ecologic_stage7,,,,,,
gsm8k-test/2,ecologic_stage7,,,,,,
gsm8k-test/202,ecologic_stage7,,,,,,
gsm8k-test/237,ecologic_stage7,,,,,,
gsm8k-test/251,ecologic_stage7,,,,,,
gsm8k-test/252,ecologic_stage7,,,,,,
gsm8k-test/253,ecologic_stage7,,,,,,
gsm8k-test/258,ecologic_stage7,,,,,,
gsm8k-test/266,ecologic_stage7,,,,,,
gsm8k-test/270,ecologic_stage7,,,,,,
gsm8k-test/275,ecologic_stage7,,,,,,
gsm8k-test/276,ecologic_stage7,,,,,,
gsm8k-test/284,ecologic_stage7,,,,,,
gsm8k-test/287,ecologic_stage7,,,,,,
gsm8k-test/304,ecologic_stage7,,,,,,
gsm8k-test/322,ecologic_stage7,,,,,,
gsm8k-test/364,ecologic_stage7,,,,,,
gsm8k-test/37,ecologic_stage7,,,,,,
gsm8k-test/384,ecologic_stage7,,,,,,
gsm8k-test/432,ecologic_stage7,,,,,,
gsm8k-test/460,ecologic_stage7,,,,,,
gsm8k-test/461,ecologic_stage7,,,,,,
gsm8k-test/487,ecologic_stage7,,,,,,
gsm8k-test/49,ecologic_stage7,,,,,,
gsm8k-test/495,ecologic_stage7,,,,,,
gsm8k-test/502,ecologic_stage7,,,,,,
gsm8k-test/504,ecologic_stage7,,,,,,
gsm8k-test/509,ecologic_stage7,,,,,,
gsm8k-test/512,ecologic_stage7,,,,,,
gsm8k-test/524,ecologic_stage7,,,,,,
gsm8k-test/546,ecologic_stage7,,,,,,
gsm8k-test/548,ecologic_stage7,,,,,,
gsm8k-test/561,ecologic_stage7,,,,,,
gsm8k-test/57,ecologic_stage7,,,,,,
gsm8k-test/577,ecologic_stage7,,,,,,
gsm8k-test/594,ecologic_stage7,,,,,,
gsm8k-test/595,ecologic_stage7,,,,,,
gsm8k-test/596,ecologic_stage7,,,,,,
gsm8k-test/608,ecologic_stage7,,,,,,
gsm8k-test/618,ecologic_stage7,,,,,,
gsm8k-test/630,ecologic_stage7,,,,,,
gsm8k-test/633,ecologic_stage7,,,,,,
gsm8k-test/644,ecologic_stage7,,,,,,
gsm8k-test/651,ecologic_stage7,,,,,,
gsm8k-test/69,ecologic_stage7,,,,,,
gsm8k-test/692,ecologic_stage7,,,,,,
gsm8k-test/696,ecologic_stage7,,,,,,
gsm8k-test/699,ecologic_stage7,,,,,,
gsm8k-test/713,ecologic_stage7,,,,,,
gsm8k-test/720,ecologic_stage7,,,,,,
gsm8k-test/729,ecologic_stage7,,,,,,
gsm8k-test/734,ecologic_stage7,,,,,,
gsm8k-test/744,ecologic_stage7,,,,,,
gsm8k-test/747,ecologic_stage7,,,,,,
gsm8k-test/770,ecologic_stage7,,,,,,
gsm8k-test/794,ecologic_stage7,,,,,,
gsm8k-test/809,ecologic_stage7,,,,,,
gsm8k-test/852,ecologic_stage7,,,,,,
gsm8k-test/855,ecologic_stage7,,,,,,
gsm8k-test/856,ecologic_stage7,,,,,,
gsm8k-test/866,ecologic_stage7,,,,,,
gsm8k-test/897,ecologic_stage7,,,,,,
gsm8k-test/93,ecologic_stage7,,,,,,
gsm8k-test/933,ecologic_stage7,,,,,,
gsm8k-test/935,ecologic_stage7,,,,,,
gsm8k-test/946,ecologic_stage7,,,,,,
gsm8k-test/949,ecologic_stage7,,,,,,
gsm8k-test/956,ecologic_stage7,,,,,,
gsm8k-test/986,ecologic_stage7,,,,,,
gsm8k-test/991,ecologic_stage7,,,,,,
gsm8k-test/998,ecologic_stage7,,,,,,
mbpp/104,ecologic_stage7,,,,,,
mbpp/105,ecologic_stage7,,,,,,
mbpp/11,ecologic_stage7,,,,,,
mbpp/112,ecologic_stage7,,,,,,
mbpp/118,ecologic_stage7,,,,,,
mbpp/125,ecologic_stage7,,,,,,
mbpp/127,ecologic_stage7,,,,,,
mbpp/128,ecologic_stage7,,,,,,
mbpp/143,ecologic_stage7,,,,,,
mbpp/145,ecologic_stage7,,,,,,
mbpp/146,ecologic_stage7,,,,,,
mbpp/150,ecologic_stage7,,,,,,
mbpp/151,ecologic_stage7,,,,,,
mbpp/181,ecologic_stage7,,,,,,
mbpp/185,ecologic_stage7,,,,,,
mbpp/188,ecologic_stage7,,,,,,
mbpp/19,ecologic_stage7,,,,,,
mbpp/192,ecologic_stage7,,,,,,
mbpp/193,ecologic_stage7,,,,,,
mbpp/198,ecologic_stage7,,,,,,
mbpp/20,ecologic_stage7,,,,,,
mbpp/203,ecologic_stage7,,,,,,
mbpp/210,ecologic_stage7,,,,,,
mbpp/213,ecologic_stage7,,,,,,
mbpp/223,ecologic_stage7,,,,,,
mbpp/236,ecologic_stage7,,,,,,
mbpp/246,ecologic_stage7,,,,,,
mbpp/249,ecologic_stage7,,,,,,
mbpp/25,ecologic_stage7,,,,,,
mbpp/261,ecologic_stage7,,,,,,
mbpp/263,ecologic_stage7,,,,,,
mbpp/267,ecologic_stage7,,,,,,
mbpp/270,ecologic_stage7,,,,,,
mbpp/276,ecologic_stage7,,,,,,
mbpp/279,ecologic_stage7,,,,,,
mbpp/294,ecologic_stage7,,,,,,
mbpp/311,ecologic_stage7,,,,,,
mbpp/314,ecologic_stage7,,,,,,
mbpp/319,ecologic_stage7,,,,,,
mbpp/323,ecologic_stage7,,,,,,
mbpp/328,ecologic_stage7,,,,,,
mbpp/331,ecologic_stage7,,,,,,
mbpp/338,ecologic_stage7,,,,,,
mbpp/344,ecologic_stage7,,,,,,
mbpp/347,ecologic_stage7,,,,,,
mbpp/356,ecologic_stage7,,,,,,
mbpp/358,ecologic_stage7,,,,,,
mbpp/362,ecologic_stage7,,,,,,
mbpp/363,ecologic_stage7,,,,,,
mbpp/364,ecologic_stage7,,,,,,
mbpp/369,ecologic_stage7,,,,,,
mbpp/376,ecologic_stage7,,,,,,
mbpp/4,ecologic_stage7,,,,,,
mbpp/404,ecologic_stage7,,,,,,
mbpp/424,ecologic_stage7,,,,,,
mbpp/433,ecologic_stage7,,,,,,
mbpp/442,ecologic_stage7,,,,,,
