query_id,threshold,router_score,router_assignment,assignment_kind,cheap_model,strong_model,cheap_quality,strong_quality,cheap_input_tokens,cheap_output_tokens,strong_input_tokens,strong_output_tokens,selected_model,selected_quality,selected_realized_cost
gsm8k-0003,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0004,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0005,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0006,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0007,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0008,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0009,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0010,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0011,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0012,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0013,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0014,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0015,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0016,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0017,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0019,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0020,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0021,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0022,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0023,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0024,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0025,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0026,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0027,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0028,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0029,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0030,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0031,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0032,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0033,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0034,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0035,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0036,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0037,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0038,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0039,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0040,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0041,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0042,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0043,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0044,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0045,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0046,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0047,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0048,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,0.0,,,,,,,
gsm8k-0049,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0050,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0051,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0052,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0053,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0054,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0055,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0056,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0057,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0058,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,0.0,,,,,,,
gsm8k-0059,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0060,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0061,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0062,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0063,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
gsm8k-0064,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0065,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,0.0,1.0,,,,,,,
gsm8k-0066,,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview,1.0,1.0,,,,,,,
