item_id,group_id,benchmark,method,tier,correct,usd,prompt_tokens,completion_tokens,total_tokens,selected_method
gsm8k/1010,cluster:gsm8k/1010,gsm8k,always_cheap,2,1,5.550000000000001e-05,158,238,396,logistic
gsm8k/1014,cluster:gsm8k/1014,gsm8k,always_cheap,2,1,0.0001338,176,625,801,logistic
gsm8k/1019,cluster:gsm8k/1019,gsm8k,always_cheap,2,0,0.00011885,169,552,721,logistic
gsm8k/1048,cluster:gsm8k/1048,gsm8k,always_cheap,2,0,9.875000000000002e-05,139,459,598,logistic
gsm8k/1050,cluster:gsm8k/1050,gsm8k,always_cheap,2,1,5.405e-05,137,236,373,logistic
gsm8k/1075,cluster:gsm8k/1075,gsm8k,always_cheap,2,1,0.00019195,147,923,1070,logistic
gsm8k/1084,cluster:gsm8k/1084,gsm8k,always_cheap,2,1,7.48e-05,132,341,473,logistic
gsm8k/1087,cluster:gsm8k/1087,gsm8k,always_cheap,2,1,6.95e-05,170,305,475,logistic
gsm8k/1092,cluster:gsm8k/1092,gsm8k,always_cheap,2,1,0.00011505000000000002,169,533,702,logistic
gsm8k/1103,cluster:gsm8k/1103,gsm8k,always_cheap,2,1,9.195000000000001e-05,167,418,585,logistic
gsm8k/1109,cluster:gsm8k/1109,gsm8k,always_cheap,2,1,5.625e-05,129,249,378,logistic
gsm8k/114,cluster:gsm8k/114,gsm8k,always_cheap,2,1,0.0001644,176,778,954,logistic
gsm8k/1141,cluster:gsm8k/1141,gsm8k,always_cheap,2,1,6.095e-05,135,271,406,logistic
gsm8k/116,cluster:gsm8k/116,gsm8k,always_cheap,2,1,9.340000000000001e-05,144,431,575,logistic
gsm8k/1192,cluster:gsm8k/1192,gsm8k,always_cheap,2,1,6.965000000000001e-05,161,308,469,logistic
gsm8k/1220,cluster:gsm8k/1220,gsm8k,always_cheap,2,1,6.675e-05,139,299,438,logistic
gsm8k/1248,cluster:gsm8k/1248,gsm8k,always_cheap,2,1,8.875000000000002e-05,203,393,596,logistic
gsm8k/1259,cluster:gsm8k/1259,gsm8k,always_cheap,2,1,5.775000000000001e-05,135,255,390,logistic
gsm8k/1275,cluster:gsm8k/1275,gsm8k,always_cheap,2,1,5.3950000000000004e-05,163,229,392,logistic
gsm8k/1280,cluster:gsm8k/1280,gsm8k,always_cheap,2,1,3.26e-05,140,128,268,logistic
gsm8k/1304,cluster:gsm8k/1304,gsm8k,always_cheap,2,1,4.075e-05,155,165,320,logistic
gsm8k/1308,cluster:gsm8k/1308,gsm8k,always_cheap,2,1,3.155e-05,127,126,253,logistic
gsm8k/132,cluster:gsm8k/132,gsm8k,always_cheap,2,1,6.14e-05,152,269,421,logistic
gsm8k/136,cluster:gsm8k/136,gsm8k,always_cheap,2,1,4.21e-05,138,176,314,logistic
