query_id,cheap_end_to_end_ms,strong_end_to_end_ms,router_selected_end_to_end_ms,router_selected_tier,router_selected_model,router_decision_ms,router_overhead_ms,router_overhead_pct,router_minus_cheap_ms,router_minus_strong_ms,source
gsm8k/100,22160.0,1580.0,192360.0,1,Qwen/Qwen3.5-9B,,,,170200.0,190780.0,legacy_latency_s
gsm8k/1000,5770.0,1940.0,5770.0,2,openai/gpt-oss-20b,,,,0.0,3830.0,legacy_latency_s
gsm8k/1026,4910.0,3080.0,43310.0,1,Qwen/Qwen3.5-9B,,,,38400.0,40230.0,legacy_latency_s
gsm8k/1034,5230.0,1590.0,5230.0,2,openai/gpt-oss-20b,,,,0.0,3640.0,legacy_latency_s
gsm8k/1041,1950.0,1740.0,196940.0,1,Qwen/Qwen3.5-9B,,,,194990.0,195200.0,legacy_latency_s
gsm8k/1054,3790.0,2410.0,3790.0,2,openai/gpt-oss-20b,,,,0.0,1380.0,legacy_latency_s
gsm8k/106,4860.0,2290.0,4860.0,2,openai/gpt-oss-20b,,,,0.0,2570.0,legacy_latency_s
gsm8k/1062,4510.0,1950.0,31530.0,1,Qwen/Qwen3.5-9B,,,,27020.0,29580.0,legacy_latency_s
gsm8k/1074,6520.0,1380.0,14620.0,1,Qwen/Qwen3.5-9B,,,,8100.0,13240.0,legacy_latency_s
gsm8k/1080,3570.0,1720.0,1720.0,3,gpt-4o,,,,-1850.0,0.0,legacy_latency_s
gsm8k/1108,1970.0,940.0,11770.0,1,Qwen/Qwen3.5-9B,,,,9800.0,10830.0,legacy_latency_s
gsm8k/1110,6660.0,2120.0,6660.0,2,openai/gpt-oss-20b,,,,0.0,4540.0,legacy_latency_s
gsm8k/1115,5010.0,1660.0,5010.0,2,openai/gpt-oss-20b,,,,0.0,3350.0,legacy_latency_s
gsm8k/1117,2810.0,1380.0,16570.0,1,Qwen/Qwen3.5-9B,,,,13760.0,15190.0,legacy_latency_s
gsm8k/1156,5130.0,1470.0,268880.0,1,Qwen/Qwen3.5-9B,,,,263750.0,267410.0,legacy_latency_s
gsm8k/1165,7440.0,2680.0,7440.0,2,openai/gpt-oss-20b,,,,0.0,4760.0,legacy_latency_s
gsm8k/1168,6170.0,2700.0,19690.0,1,Qwen/Qwen3.5-9B,,,,13520.0,16990.0,legacy_latency_s
gsm8k/1170,7090.0,2420.0,14660.0,1,Qwen/Qwen3.5-9B,,,,7570.0,12240.0,legacy_latency_s
gsm8k/1174,17060.0,2700.0,69510.0,1,Qwen/Qwen3.5-9B,,,,52450.0,66810.0,legacy_latency_s
gsm8k/1183,73050.0,2280.0,21870.0,1,Qwen/Qwen3.5-9B,,,,-51180.0,19590.0,legacy_latency_s
gsm8k/1227,15640.0,1890.0,76230.0,1,Qwen/Qwen3.5-9B,,,,60590.0,74340.0,legacy_latency_s
gsm8k/1240,6620.0,2560.0,6620.0,2,openai/gpt-oss-20b,,,,0.0,4060.0,legacy_latency_s
gsm8k/1251,33080.0,1800.0,33080.0,2,openai/gpt-oss-20b,,,,0.0,31280.0,legacy_latency_s
gsm8k/1260,3080.0,1500.0,3080.0,2,openai/gpt-oss-20b,,,,0.0,1580.0,legacy_latency_s
gsm8k/1269,4660.0,3340.0,4660.0,2,openai/gpt-oss-20b,,,,0.0,1320.0,legacy_latency_s
gsm8k/1277,2460.0,1500.0,12750.0,1,Qwen/Qwen3.5-9B,,,,10290.0,11250.0,legacy_latency_s
gsm8k/1279,2700.0,1650.0,2700.0,2,openai/gpt-oss-20b,,,,0.0,1050.0,legacy_latency_s
gsm8k/129,4970.0,1680.0,4970.0,2,openai/gpt-oss-20b,,,,0.0,3290.0,legacy_latency_s
gsm8k/1305,3930.0,2150.0,15720.0,1,Qwen/Qwen3.5-9B,,,,11790.0,13570.0,legacy_latency_s
gsm8k/134,2040.0,1130.0,2040.0,2,openai/gpt-oss-20b,,,,0.0,910.0,legacy_latency_s
gsm8k/185,1740.0,1710.0,1740.0,2,openai/gpt-oss-20b,,,,0.0,30.0,legacy_latency_s
gsm8k/186,7380.0,1860.0,7380.0,2,openai/gpt-oss-20b,,,,0.0,5520.0,legacy_latency_s
gsm8k/188,3100.0,2720.0,3100.0,2,openai/gpt-oss-20b,,,,0.0,380.0,legacy_latency_s
gsm8k/190,2580.0,1560.0,2580.0,2,openai/gpt-oss-20b,,,,0.0,1020.0,legacy_latency_s
gsm8k/196,2090.0,1490.0,2090.0,2,openai/gpt-oss-20b,,,,0.0,600.0,legacy_latency_s
gsm8k/20,9490.0,3000.0,39280.0,1,Qwen/Qwen3.5-9B,,,,29790.0,36280.0,legacy_latency_s
gsm8k/205,11410.0,2070.0,11410.0,2,openai/gpt-oss-20b,,,,0.0,9340.0,legacy_latency_s
gsm8k/220,2430.0,1790.0,15270.0,1,Qwen/Qwen3.5-9B,,,,12840.0,13480.0,legacy_latency_s
gsm8k/225,4220.0,1210.0,22720.0,1,Qwen/Qwen3.5-9B,,,,18500.0,21510.0,legacy_latency_s
gsm8k/227,4850.0,2270.0,4850.0,2,openai/gpt-oss-20b,,,,0.0,2580.0,legacy_latency_s
gsm8k/234,11260.0,2420.0,21090.0,1,Qwen/Qwen3.5-9B,,,,9830.0,18670.0,legacy_latency_s
gsm8k/249,4730.0,2330.0,18810.0,1,Qwen/Qwen3.5-9B,,,,14080.0,16480.0,legacy_latency_s
gsm8k/250,5320.0,2100.0,5320.0,2,openai/gpt-oss-20b,,,,0.0,3220.0,legacy_latency_s
gsm8k/268,2020.0,1500.0,2020.0,2,openai/gpt-oss-20b,,,,0.0,520.0,legacy_latency_s
gsm8k/27,3480.0,1590.0,22950.0,1,Qwen/Qwen3.5-9B,,,,19470.0,21360.0,legacy_latency_s
gsm8k/290,6210.0,1570.0,23500.0,1,Qwen/Qwen3.5-9B,,,,17290.0,21930.0,legacy_latency_s
gsm8k/299,7740.0,2029.9999999999998,7740.0,2,openai/gpt-oss-20b,,,,0.0,5710.0,legacy_latency_s
gsm8k/301,10390.0,1790.0,75070.0,1,Qwen/Qwen3.5-9B,,,,64680.0,73280.0,legacy_latency_s
gsm8k/303,6340.0,2050.0,6340.0,2,openai/gpt-oss-20b,,,,0.0,4290.0,legacy_latency_s
gsm8k/313,19770.0,2450.0,60940.0,1,Qwen/Qwen3.5-9B,,,,41170.0,58490.0,legacy_latency_s
gsm8k/314,5170.0,1670.0,13620.0,1,Qwen/Qwen3.5-9B,,,,8450.0,11950.0,legacy_latency_s
gsm8k/33,4720.0,1780.0,14800.0,1,Qwen/Qwen3.5-9B,,,,10080.0,13020.0,legacy_latency_s
gsm8k/350,3940.0,1490.0,13630.0,1,Qwen/Qwen3.5-9B,,,,9690.0,12140.0,legacy_latency_s
gsm8k/353,20140.0,2620.0,20140.0,2,openai/gpt-oss-20b,,,,0.0,17520.0,legacy_latency_s
gsm8k/365,2780.0,1260.0,201250.0,1,Qwen/Qwen3.5-9B,,,,198470.0,199990.0,legacy_latency_s
gsm8k/420,3150.0,1780.0,13610.0,1,Qwen/Qwen3.5-9B,,,,10460.0,11830.0,legacy_latency_s
gsm8k/426,2730.0,2270.0,23860.0,1,Qwen/Qwen3.5-9B,,,,21130.0,21590.0,legacy_latency_s
gsm8k/453,3290.0,2380.0,18580.0,1,Qwen/Qwen3.5-9B,,,,15290.0,16200.0,legacy_latency_s
gsm8k/454,1800.0,1490.0,1800.0,2,openai/gpt-oss-20b,,,,0.0,310.0,legacy_latency_s
gsm8k/468,5720.0,1740.0,13100.0,1,Qwen/Qwen3.5-9B,,,,7380.0,11360.0,legacy_latency_s
gsm8k/474,2390.0,1600.0,10360.0,1,Qwen/Qwen3.5-9B,,,,7970.0,8760.0,legacy_latency_s
gsm8k/481,3670.0,1960.0,24410.0,1,Qwen/Qwen3.5-9B,,,,20740.0,22450.0,legacy_latency_s
gsm8k/488,2410.0,1850.0,11890.0,1,Qwen/Qwen3.5-9B,,,,9480.0,10040.0,legacy_latency_s
gsm8k/491,3310.0,2180.0,3310.0,2,openai/gpt-oss-20b,,,,0.0,1130.0,legacy_latency_s
gsm8k/50,2730.0,2000.0,192410.0,1,Qwen/Qwen3.5-9B,,,,189680.0,190410.0,legacy_latency_s
gsm8k/519,3330.0,1290.0,9510.0,1,Qwen/Qwen3.5-9B,,,,6180.0,8220.0,legacy_latency_s
gsm8k/552,5490.0,1590.0,171650.0,1,Qwen/Qwen3.5-9B,,,,166160.0,170060.0,legacy_latency_s
gsm8k/553,2360.0,2350.0,2360.0,2,openai/gpt-oss-20b,,,,0.0,10.0,legacy_latency_s
gsm8k/562,6660.0,2100.0,92360.0,1,Qwen/Qwen3.5-9B,,,,85700.0,90260.0,legacy_latency_s
gsm8k/578,6520.0,1620.0,22390.0,1,Qwen/Qwen3.5-9B,,,,15870.0,20770.0,legacy_latency_s
gsm8k/581,2450.0,1490.0,11800.0,1,Qwen/Qwen3.5-9B,,,,9350.0,10310.0,legacy_latency_s
gsm8k/583,4640.0,1960.0,59020.0,1,Qwen/Qwen3.5-9B,,,,54380.0,57060.0,legacy_latency_s
gsm8k/60,6860.0,1800.0,16480.0,1,Qwen/Qwen3.5-9B,,,,9620.0,14680.0,legacy_latency_s
gsm8k/61,3340.0,1570.0,260970.00000000003,1,Qwen/Qwen3.5-9B,,,,257630.00000000003,259400.00000000003,legacy_latency_s
gsm8k/610,4210.0,2120.0,212650.0,1,Qwen/Qwen3.5-9B,,,,208440.0,210530.0,legacy_latency_s
gsm8k/612,3050.0,1660.0,3050.0,2,openai/gpt-oss-20b,,,,0.0,1390.0,legacy_latency_s
gsm8k/643,3720.0,1700.0,13330.0,1,Qwen/Qwen3.5-9B,,,,9610.0,11630.0,legacy_latency_s
gsm8k/645,5780.0,1870.0,5780.0,2,openai/gpt-oss-20b,,,,0.0,3910.0,legacy_latency_s
gsm8k/682,4460.0,1860.0,14550.0,1,Qwen/Qwen3.5-9B,,,,10090.0,12690.0,legacy_latency_s
gsm8k/700,6020.0,1880.0,6020.0,2,openai/gpt-oss-20b,,,,0.0,4140.0,legacy_latency_s
gsm8k/726,5060.0,1930.0,14580.0,1,Qwen/Qwen3.5-9B,,,,9520.0,12650.0,legacy_latency_s
gsm8k/735,4040.0,1660.0,18710.0,1,Qwen/Qwen3.5-9B,,,,14670.0,17050.0,legacy_latency_s
gsm8k/771,2970.0,2090.0,2970.0,2,openai/gpt-oss-20b,,,,0.0,880.0,legacy_latency_s
gsm8k/796,9020.0,2490.0,9020.0,2,openai/gpt-oss-20b,,,,0.0,6530.0,legacy_latency_s
gsm8k/801,4040.0,1620.0,4040.0,2,openai/gpt-oss-20b,,,,0.0,2420.0,legacy_latency_s
gsm8k/81,2570.0,1500.0,12820.0,1,Qwen/Qwen3.5-9B,,,,10250.0,11320.0,legacy_latency_s
gsm8k/812,6140.0,2390.0,6140.0,2,openai/gpt-oss-20b,,,,0.0,3750.0,legacy_latency_s
gsm8k/813,3630.0,2480.0,3630.0,2,openai/gpt-oss-20b,,,,0.0,1150.0,legacy_latency_s
gsm8k/823,3790.0,1500.0,3790.0,2,openai/gpt-oss-20b,,,,0.0,2290.0,legacy_latency_s
gsm8k/827,5250.0,2550.0,23300.0,1,Qwen/Qwen3.5-9B,,,,18050.0,20750.0,legacy_latency_s
gsm8k/829,5470.0,2670.0,5470.0,2,openai/gpt-oss-20b,,,,0.0,2800.0,legacy_latency_s
gsm8k/863,3160.0,1630.0,13540.0,1,Qwen/Qwen3.5-9B,,,,10380.0,11910.0,legacy_latency_s
gsm8k/878,2940.0,2270.0,10350.0,1,Qwen/Qwen3.5-9B,,,,7410.0,8080.0,legacy_latency_s
gsm8k/885,3480.0,1570.0,9760.0,1,Qwen/Qwen3.5-9B,,,,6280.0,8190.0,legacy_latency_s
gsm8k/891,6690.0,2020.0,24250.0,1,Qwen/Qwen3.5-9B,,,,17560.0,22230.0,legacy_latency_s
gsm8k/919,4350.0,1840.0,4350.0,2,openai/gpt-oss-20b,,,,0.0,2510.0,legacy_latency_s
gsm8k/94,4640.0,1710.0,20590.0,1,Qwen/Qwen3.5-9B,,,,15950.0,18880.0,legacy_latency_s
gsm8k/971,2470.0,1920.0,11850.0,1,Qwen/Qwen3.5-9B,,,,9380.0,9930.0,legacy_latency_s
gsm8k/985,3220.0,1370.0,7980.0,1,Qwen/Qwen3.5-9B,,,,4760.0,6610.0,legacy_latency_s
gsm8k/999,4710.0,2670.0,4710.0,2,openai/gpt-oss-20b,,,,0.0,2040.0,legacy_latency_s
HumanEval/0,6300.0,1400.0,6300.0,2,openai/gpt-oss-20b,,,,0.0,4900.0,legacy_latency_s
HumanEval/1,6620.0,1130.0,6620.0,2,openai/gpt-oss-20b,,,,0.0,5490.0,legacy_latency_s
HumanEval/10,11050.0,1470.0,14220.0,1,Qwen/Qwen3.5-9B,,,,3170.0,12750.0,legacy_latency_s
HumanEval/100,9900.0,1420.0,9900.0,2,openai/gpt-oss-20b,,,,0.0,8480.0,legacy_latency_s
HumanEval/101,4720.0,1120.0,6700.0,1,Qwen/Qwen3.5-9B,,,,1980.0,5580.0,legacy_latency_s
HumanEval/102,6530.0,1130.0,81410.0,1,Qwen/Qwen3.5-9B,,,,74880.0,80280.0,legacy_latency_s
HumanEval/103,10480.0,900.0,29030.0,1,Qwen/Qwen3.5-9B,,,,18550.0,28130.0,legacy_latency_s
HumanEval/104,5740.0,1000.0,48080.0,1,Qwen/Qwen3.5-9B,,,,42340.0,47080.0,legacy_latency_s
HumanEval/105,8840.0,830.0,8840.0,2,openai/gpt-oss-20b,,,,0.0,8010.0,legacy_latency_s
HumanEval/106,8310.0,880.0,57860.0,1,Qwen/Qwen3.5-9B,,,,49550.0,56980.0,legacy_latency_s
HumanEval/107,4980.0,880.0,182110.0,1,Qwen/Qwen3.5-9B,,,,177130.0,181230.0,legacy_latency_s
HumanEval/108,9520.0,1050.0,10880.0,1,Qwen/Qwen3.5-9B,,,,1360.0,9830.0,legacy_latency_s
HumanEval/109,4150.0,930.0,161120.0,1,Qwen/Qwen3.5-9B,,,,156970.0,160190.0,legacy_latency_s
HumanEval/11,2830.0,1270.0,6990.0,1,Qwen/Qwen3.5-9B,,,,4160.0,5720.0,legacy_latency_s
HumanEval/110,8070.0,2090.0,108580.0,1,Qwen/Qwen3.5-9B,,,,100510.0,106490.0,legacy_latency_s
HumanEval/111,4490.0,1140.0,211470.0,1,Qwen/Qwen3.5-9B,,,,206980.0,210330.0,legacy_latency_s
HumanEval/112,4190.0,810.0,56070.0,1,Qwen/Qwen3.5-9B,,,,51880.0,55260.0,legacy_latency_s
HumanEval/113,13170.0,890.0,13170.0,2,openai/gpt-oss-20b,,,,0.0,12280.0,legacy_latency_s
HumanEval/114,3050.0,1010.0,67800.0,1,Qwen/Qwen3.5-9B,,,,64750.0,66790.0,legacy_latency_s
HumanEval/115,5330.0,620.0,5330.0,2,openai/gpt-oss-20b,,,,0.0,4710.0,legacy_latency_s
HumanEval/116,34460.0,470.0,166580.0,1,Qwen/Qwen3.5-9B,,,,132120.0,166110.0,legacy_latency_s
HumanEval/117,4840.0,880.0,81700.0,1,Qwen/Qwen3.5-9B,,,,76860.0,80820.0,legacy_latency_s
HumanEval/118,8950.0,730.0,12500.0,1,Qwen/Qwen3.5-9B,,,,3550.0,11770.0,legacy_latency_s
HumanEval/119,4940.0,1050.0,4940.0,2,openai/gpt-oss-20b,,,,0.0,3890.0,legacy_latency_s
HumanEval/12,3810.0,820.0,5090.0,1,Qwen/Qwen3.5-9B,,,,1280.0,4270.0,legacy_latency_s
HumanEval/120,5560.0,1010.0,48390.0,1,Qwen/Qwen3.5-9B,,,,42830.0,47380.0,legacy_latency_s
HumanEval/121,3050.0,1080.0,50580.0,1,Qwen/Qwen3.5-9B,,,,47530.0,49500.0,legacy_latency_s
HumanEval/122,5050.0,690.0,39880.0,1,Qwen/Qwen3.5-9B,,,,34830.0,39190.0,legacy_latency_s
HumanEval/123,8470.0,960.0,8470.0,2,openai/gpt-oss-20b,,,,0.0,7510.0,legacy_latency_s
HumanEval/124,10650.0,1130.0,21170.0,1,Qwen/Qwen3.5-9B,,,,10520.0,20040.0,legacy_latency_s
HumanEval/125,7230.0,1000.0,6420.0,1,Qwen/Qwen3.5-9B,,,,-810.0,5420.0,legacy_latency_s
HumanEval/126,5920.0,1050.0,230300.0,1,Qwen/Qwen3.5-9B,,,,224380.0,229250.0,legacy_latency_s
HumanEval/127,6980.0,1490.0,6980.0,2,openai/gpt-oss-20b,,,,0.0,5490.0,legacy_latency_s
HumanEval/128,9790.0,870.0,9790.0,2,openai/gpt-oss-20b,,,,0.0,8920.0,legacy_latency_s
HumanEval/129,16379.999999999998,2050.0,16379.999999999998,2,openai/gpt-oss-20b,,,,0.0,14329.999999999998,legacy_latency_s
HumanEval/13,1980.0,690.0,5000.0,1,Qwen/Qwen3.5-9B,,,,3020.0,4310.0,legacy_latency_s
HumanEval/130,14620.0,1270.0,200680.0,1,Qwen/Qwen3.5-9B,,,,186060.0,199410.0,legacy_latency_s
HumanEval/131,3200.0,1430.0,54510.0,1,Qwen/Qwen3.5-9B,,,,51310.0,53080.0,legacy_latency_s
HumanEval/132,106850.0,830.0,46930.0,1,Qwen/Qwen3.5-9B,,,,-59920.0,46100.0,legacy_latency_s
