setting,parameter,parameter_value,router_advantage,cost_difference,quality_difference,significance,conclusion_changed
baseline,none,committed_usd,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_scale,t1_x0.5,-0.05494505494505497,0.0002991173351648351,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_scale,t1_x2,-0.05494505494505497,0.0014209620604395603,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_scale,t2_x0.5,-0.05494505494505497,0.0007179844642857142,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_scale,t2_x2,-0.05494505494505497,0.0005832278021978022,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_scale,t2_x10,-0.02729042662608583,9.331554945054914e-05,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_scale,t2_x50,-0.047234964208746844,0.001087815549450549,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_scale,t3_x0.5,-0.05494505494505497,0.0006655621428571429,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_scale,t3_x2,-0.05494505494505497,0.000688072445054945,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_source,stored_usd,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,usd_source,swap_t1_t2_rates,-0.05494505494505497,0.00047627472527472553,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,cost_axis,energy_paper,-0.05494505494505497,0.8106964285714289,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
model_pricing,cost_axis,energy_subst,-0.05494505494505497,2.3471813186813186,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
output_token_multiplier,output_mult,0.5,-0.05494505494505497,0.0003432145467032966,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
output_token_multiplier,output_mult,1.0,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
output_token_multiplier,output_mult,2.0,-0.05494505494505497,0.001332767637362637,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
output_token_multiplier,output_mult,5.0,-0.05494505494505497,0.0033118738186813193,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
output_token_multiplier,output_mult,10.0,-0.05494505494505497,0.006610384120879122,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
router_overhead,overhead_usd,0.0,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
router_overhead,overhead_usd,1e-05,-0.05494505494505497,0.000683065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
router_overhead,overhead_usd,0.0001,-0.05494505494505497,0.0007730655769230769,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
router_overhead,overhead_usd,0.001,-0.05494505494505497,0.0016730655769230769,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
router_overhead,overhead_usd,0.01,-0.05494505494505497,0.010673065576923078,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
latency_penalty,usd_per_second,0.0,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
latency_penalty,usd_per_second,1e-05,-0.05494505494505497,0.0009709004670329669,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
latency_penalty,usd_per_second,0.0001,-0.05494505494505497,0.0036514144780219783,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
latency_penalty,usd_per_second,0.001,-0.05494505494505497,0.03409390596153847,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
latency_penalty,usd_per_second,0.01,-0.05494505494505497,0.34958915321428574,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
quality_threshold,min_max_quality,0.0,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
quality_threshold,min_max_quality,1.0,-0.05698005698005704,0.0006463362108262108,-0.05698005698005704,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1984,false
quality_threshold,target_quality,0.8,0.06813186813186811,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
quality_threshold,target_quality,0.825,0.0431318681318682,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
quality_threshold,target_quality,0.85,0.01813186813186818,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
quality_threshold,target_quality,0.875,-0.006868131868131844,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
quality_threshold,target_quality,0.9,-0.031868131868131866,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
quality_threshold,target_quality,0.925,-0.05686813186813189,,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
quality_threshold,target_quality,0.95,-0.0818681318681318,,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
routing_budget,budget_mult_of_router_mean,0.5,,0.0003938829258241758,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
routing_budget,budget_mult_of_router_mean,0.75,,0.00019694146291208796,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
routing_budget,budget_mult_of_router_mean,1.0,-0.05494505494505497,0.0,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
routing_budget,budget_mult_of_router_mean,1.25,-0.05494505494505497,-0.00019694146291208796,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
routing_budget,budget_mult_of_router_mean,1.5,-0.05494505494505497,-0.0003938829258241757,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
routing_budget,budget_mult_of_router_mean,2.0,-0.05494505494505497,-0.0007877658516483516,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,20260909,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,20260905,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,1,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,42,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,permutation_seed,12345,-0.05494505494505497,0.000673065576923077,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,false
random_seed,random_policy_seed,20260909,-0.05219780219780212,-7.479769230769233e-05,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
random_seed,random_policy_seed,20260905,-0.038461538461538436,-0.0002089619230769232,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
random_seed,random_policy_seed,1,-0.0219780219780219,-0.00019039989010989026,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
random_seed,random_policy_seed,42,-0.04395604395604391,-0.00018793582417582424,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
random_seed,random_policy_seed,12345,-0.02472527472527475,-0.00017917049450549458,-0.05494505494505497,0.00536765 (p_adj<0.05); p_raw=0.005; dz=-0.1947,true
bootstrap_resample,replicate,0,-0.07692307692307687,0.0007787284615384615,-0.07692307692307687,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,1,-0.07692307692307687,0.0006750495879120879,-0.07692307692307687,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,2,-0.059425302987623385,0.0006759353021978021,-0.05494505494505497,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,3,-0.06318681318681318,0.0006821005769230768,-0.06318681318681318,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,4,-0.030219780219780223,0.0005627804120879122,-0.030219780219780223,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,5,-0.03846153846153855,0.0006965601373626374,-0.03846153846153855,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,6,-0.0494505494505495,0.0006024857142857143,-0.0494505494505495,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,7,-0.05494505494505497,0.0005910500549450549,-0.05494505494505497,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,8,-0.08516483516483508,0.0007244695054945055,-0.08516483516483508,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,9,-0.04120879120879117,0.0007014051648351648,-0.04120879120879117,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,10,-0.07967032967032972,0.0006906144505494504,-0.07967032967032972,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,11,-0.05494505494505486,0.000590575054945055,-0.05494505494505486,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,12,-0.029907598886679154,0.0007383658241758242,-0.027472527472527486,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,13,-0.07692307692307687,0.0007033680219780218,-0.07692307692307687,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,14,-0.029200919567010986,0.0006482876648351651,-0.02197802197802201,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,15,-0.052197802197802234,0.0007260881043956043,-0.052197802197802234,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,16,-0.04395604395604391,0.0006643752472527472,-0.04395604395604391,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,17,-0.04395604395604391,0.0006854294230769231,-0.04395604395604391,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,18,-0.0333622967835574,0.0006423600824175824,-0.030219780219780223,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,19,-0.06318681318681318,0.0006829786538461539,-0.06318681318681318,n/a (bootstrap sensitivity; not a test),false
bootstrap_resample,replicate,20,-0.04395604395604391,0.0006134486263736263,-0.04395604395604391,n/a (bootstrap sensitivity; not a test),false
