key,config,split,subset,status,n_queries,n_models,usd_available,naive_aggregate_cost,exact_realized_cost,relative_accounting_error,oracle_mean_quality,static_quality_at_oracle_cost,oracle_quality_advantage,router_frontier,reason
llmrouter_generic__train__all,llmrouter_generic,train,all,ok,4489,18,True,2.8726366695927196e-05,2.4103711294274893e-05,0.19178189388412872,0.9070247377283712,0.6864596834597073,0.2205650542686638,skipped,
llmrouter_generic__test__all,llmrouter_generic,test,all,ok,3729,18,True,3.2850723434086e-05,3.234866988468758e-05,0.015520067786034951,0.9292880475843897,0.7195420347129897,0.20974601287139982,skipped,
memory_locomo__train__all,memory_locomo,train,all,ok,885,18,True,9.880106990966836e-05,0.00010237475706214689,-0.03490789385032788,0.47360479134153266,0.3048784493215543,0.16872634201997883,skipped,
memory_locomo__test__all,memory_locomo,test,all,ok,314,18,True,8.817186822994847e-05,9.026019108280256e-05,-0.023136698779402137,0.4395938427650179,0.2758348538147074,0.1637589889503105,skipped,
memory_longmemeval__train__all,memory_longmemeval,train,all,ok,277,18,True,0.00043987696372948946,0.00043579685920577615,0.009362400020847213,0.627897008040951,0.4042198028748678,0.22367720516608336,skipped,
memory_longmemeval__test__all,memory_longmemeval,test,all,ok,101,18,True,0.0003546464052543868,0.00032945514851485155,0.0764633876662567,0.6000721861748208,,,skipped,
timeseries__train__all,timeseries,train,all,ok,976,18,True,0.00017262770358480588,0.00016342168032786885,0.05633293721167973,0.9836065573770492,0.5474515419412253,0.4361550154358239,skipped,
timeseries__test__all,timeseries,test,all,ok,127,18,True,0.00017574053568107138,0.00018594826771653543,-0.05489554788983024,0.9921259842519685,0.5562442922650648,0.43588169198690374,skipped,
video__train__all,video,train,all,ok,201,18,True,2.7908091383876636e-05,2.7496915422885575e-05,0.014953530411227182,0.22885572139303484,0.09950089679500172,0.1293548245980331,skipped,
video__test__all,video,test,all,ok,27,18,True,2.1805624142661184e-05,2.1809259259259258e-05,-0.00016667767368256154,0.3333333333333333,0.14260632909218898,0.19072700424114433,skipped,
multimodal_geometry3k__train__all,multimodal_geometry3k,train,all,ok,480,18,True,0.00010079732851562499,9.851775e-05,0.023138759417718955,0.6,0.3055179174152986,0.2944820825847014,skipped,
multimodal_geometry3k__test__all,multimodal_geometry3k,test,all,ok,61,18,True,0.00015718352593388873,0.00016097754098360655,-0.02356859861652495,0.7868852459016393,0.313679344788425,0.4732059011132143,skipped,
multimodal_mathvista__train__all,multimodal_mathvista,train,all,ok,800,18,True,6.354999920312501e-05,6.456827500000001e-05,-0.015770528125073784,0.645,0.35767333798132894,0.2873266620186711,skipped,
multimodal_mathvista__test__all,multimodal_mathvista,test,all,ok,100,18,True,5.3914627e-05,5.96479e-05,-0.09611860601965871,0.65,0.42932295608371474,0.2206770439162853,skipped,
llmrouter_generic__train__aime_2020_2024,llmrouter_generic,train,aime_2020_2024,ok,107,18,True,6.46272320726701e-05,4.229392523364486e-05,0.5280499910010499,0.16822429906542055,0.04946222470387605,0.11876207436154451,skipped,
llmrouter_generic__train__arc_challenge,llmrouter_generic,train,arc_challenge,ok,450,18,True,6.14371506172839e-06,6.1478888888888895e-06,-0.0006789041304963225,0.9955555555555555,0.9538771615980919,0.041678393957463644,skipped,
llmrouter_generic__train__boolq,llmrouter_generic,train,boolq,ok,400,18,True,1.2232082812499993e-05,1.2254500000000001e-05,-0.0018293025011226522,0.9825,,,skipped,
llmrouter_generic__train__commonsense_qa,llmrouter_generic,train,commonsense_qa,ok,400,18,True,1.2000913812500001e-05,1.3822975e-05,-0.13181396823042785,0.9925,0.7948165759664014,0.19768342403359862,skipped,
llmrouter_generic__train__gsm8k,llmrouter_generic,train,gsm8k,ok,450,18,True,3.3424660839506174e-05,3.1917822222222226e-05,0.04720994455050378,0.9911111111111112,0.8637679801250537,0.12734313098605743,skipped,
llmrouter_generic__train__hellaswag,llmrouter_generic,train,hellaswag,ok,400,18,True,2.0375836750000005e-05,1.9385825000000002e-05,0.05106884798557723,0.9775,0.7861382744070071,0.19136172559299292,skipped,
llmrouter_generic__train__human_eval,llmrouter_generic,train,human_eval,ok,132,18,True,7.310734044995408e-05,7.291780303030303e-05,0.002599329817606885,0.946969696969697,0.6603899076573416,0.2865797893123554,skipped,
llmrouter_generic__train__math,llmrouter_generic,train,math,ok,450,18,True,3.6441118864197536e-05,3.291753333333333e-05,0.10704281803813384,0.9088888888888889,0.6195068716804586,0.28938201720843026,skipped,
llmrouter_generic__train__mbpp,llmrouter_generic,train,mbpp,ok,337,18,True,3.2219493435708686e-05,3.4235578635014835e-05,-0.0588885971754593,0.8931750741839762,0.6621133269861815,0.2310617471977947,skipped,
